Country/Region,WHO region,WHO region code,Total,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02/01/2020,02/02/2020,02/03/2020,02/04/2020,02/05/2020,02/06/2020,02/07/2020,02/08/2020,02/09/2020,02/10/2020,02/11/2020,02/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020
Iran,Eastern Mediterranean Region,2,189939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,141,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,14991,14991,16169,17361,18407,19644
Kuwait,Eastern Mediterranean Region,2,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,8,12,43,43,45,45,56,56,56,58,58,58,62,64,65,69,80,80,100,112,112,130,130,142,148,159
Bahrain,Eastern Mediterranean Region,2,3126,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,26,33,33,38,40,47,49,49,49,49,49,56,79,109,110,189,195,210,211,221,229,237,256,269,285
United Arab Emirates,Eastern Mediterranean Region,2,1700,0,0,0,,,,,,4,4,4,4,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,9,9,9,9,9,11,13,13,13,13,13,19,19,19,21,21,27,27,27,45,45,45,59,74,74,85,85,85,98,98,98,113,140,140
Iraq,Eastern Mediterranean Region,2,1730,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,7,8,13,19,26,31,36,36,44,54,60,61,61,70,70,93,93,124,124,154,164,177,193
Oman,Eastern Mediterranean Region,2,432,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,6,6,6,6,6,12,15,16,16,16,16,18,18,18,18,19,20,22,24,24,33,39,48
Lebanon,Eastern Mediterranean Region,2,1317,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,10,13,13,13,16,22,28,32,41,41,66,66,77,93,99,109,120,133,149,163
Pakistan,Eastern Mediterranean Region,2,1600,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,5,5,5,5,5,5,6,16,16,19,20,21,28,52,187,187,241,302,461
Egypt,Eastern Mediterranean Region,2,1691,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,48,55,59,59,67,67,93,93,126,166,166,196,210,256
Afghanistan,Eastern Mediterranean Region,2,186,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,7,7,7,10,16,21,22,22,22,24
